Platform,Event_Name,Alert_Type,Data_Fields,Priority_Level,Integration_Status,Implementation_Notes
Twitch,Twitch.Follow,follow,"user (display_name), platform, timestamp",High,Implemented,"streamerbot-integration.js:87"
Twitch,Twitch.Subscribe,subscribe,"user, tier, isGift, message, platform, timestamp",High,Implemented,"streamerbot-integration.js:98"
Twitch,Twitch.ReSub,subscribe,"user, tier, months, message",High,Not_Implemented,"Missing from code"
Twitch,Twitch.GiftSub,subscribe,"user, tier, isGift: true, recipient",High,Not_Implemented,"Missing from code"
Twitch,Twitch.GiftBomb,subscribe,"user, tier, count, isGift: true",High,Not_Implemented,"Missing from code"
Twitch,Twitch.ChatMessage,chat_message,"username, message, badges, isModerator, isSubscriber, isVip, platform, timestamp",Low,Implemented,"streamerbot-integration.js:137 - Has filtering logic"
Twitch,Twitch.FirstWords,first_message,"user, message",Medium,Not_Implemented,"Missing from code"
Twitch,Twitch.Announcement,announcement,"user, message, color",High,Not_Implemented,"Missing from code"
Twitch,Twitch.UserTimedOut,moderation,"action: timeout, user, duration",Medium,Not_Implemented,"Missing from code"
Twitch,Twitch.UserBanned,moderation,"action: ban, user",Medium,Not_Implemented,"Missing from code"
Twitch,Twitch.Cheer,cheer,"user, amount, message, platform, timestamp",High,Implemented,"streamerbot-integration.js:112"
Twitch,Twitch.RewardRedemption,channel_points,"user, reward, cost",Medium,Not_Implemented,"Missing from code"
Twitch,Twitch.Raid,raid,"user (from_broadcaster_user_name), viewers, platform, timestamp",High,Implemented,"streamerbot-integration.js:125"
Twitch,Twitch.Host,host,"user, viewers",High,Not_Implemented,"Missing from code"
Twitch,Twitch.HypeTrainStart,hype_train,"status: start, level",High,Not_Implemented,"Missing from code"
Twitch,Twitch.HypeTrainLevelUp,hype_train,"status: level_up, level",High,Not_Implemented,"Missing from code"
Twitch,Twitch.HypeTrainEnd,hype_train,"status: end, level, total",High,Not_Implemented,"Missing from code"
Twitch,Twitch.StreamOnline,stream_online,"game (game_name), title, platform, timestamp",High,Implemented,"streamerbot-integration.js:156"
Twitch,Twitch.StreamOffline,stream_offline,"platform, timestamp",Medium,Implemented,"streamerbot-integration.js:167"
Twitch,Twitch.StreamUpdate,stream_update,"game (game_name), title, viewerCount, platform, timestamp",Low,Implemented,"streamerbot-integration.js:176"
YouTube,YouTube.Subscribe,subscribe,"user (display_name), platform, timestamp",High,Implemented,"streamerbot-integration.js:190"
YouTube,YouTube.NewSubscriber,subscribe,"user, platform: youtube",High,Not_Implemented,"Missing from code"
YouTube,YouTube.Message,chat_message,"username, message, platform: youtube",Low,Not_Implemented,"Missing from code"
YouTube,YouTube.ChatMessage,chat_message,"username, message, platform: youtube",Low,Not_Implemented,"Missing from code"
YouTube,YouTube.SuperChat,donation,"user, amount, message, platform, timestamp",High,Implemented,"streamerbot-integration.js:200"
YouTube,YouTube.SuperSticker,donation,"user, amount, sticker, platform: youtube",High,Not_Implemented,"Missing from code"
YouTube,YouTube.NewSponsor,membership,"user, level: Member, platform: youtube",High,Not_Implemented,"Missing from code"
YouTube,YouTube.MembershipGift,membership,"user, level, isGift: true",High,Not_Implemented,"Missing from code"
YouTube,YouTube.MemberMileStone,membership,"user, level, months",Medium,Not_Implemented,"Missing from code"
YouTube,YouTube.Member,membership,"user, level, platform, timestamp",High,Implemented,"streamerbot-integration.js:212"
YouTube,YouTube.BroadcastStarted,stream_online,"platform: youtube",High,Not_Implemented,"Missing from code"
YouTube,YouTube.BroadcastEnded,stream_offline,"platform: youtube",Medium,Not_Implemented,"Missing from code"
Kick,Kick.Follow,follow,"user (username), platform, timestamp",High,Implemented,"streamerbot-integration.js:225"
Kick,Kick.Subscribe,subscribe,"user, tier, months, platform, timestamp",High,Implemented,"streamerbot-integration.js:235 - Enhanced with months field"
Kick,Kick.Resubscription,subscribe,"user, tier, months, platform: kick",High,Not_Implemented,"Missing from code"
Kick,Kick.GiftSubscription,subscribe,"user, tier, isGift: true, platform: kick",High,Not_Implemented,"Missing from code"
Kick,Kick.ChatMessage,chat_message,"username, message, platform: kick",Low,Not_Implemented,"Missing from code"
Kick,Kick.StreamOnline,stream_online,"platform: kick",High,Not_Implemented,"Missing from code"
Kick,Kick.StreamOffline,stream_offline,"platform: kick",Medium,Not_Implemented,"Missing from code"
Kick,Kick.ViewerCountUpdate,viewer_update,"count, platform: kick",Low,Not_Implemented,"Missing from code"
Patreon,Patreon.FollowCreated,follow,"user, platform: patreon",High,Not_Implemented,"No Patreon integration found"
Patreon,Patreon.PledgeCreated,pledge,"user, amount, tier, platform: patreon",High,Not_Implemented,"No Patreon integration found"
Patreon,Patreon.PledgeUpdated,pledge_update,"user, amount, tier, platform: patreon",Medium,Not_Implemented,"No Patreon integration found"
Patreon,Patreon.PledgeDeleted,pledge_cancel,"user, platform: patreon",Medium,Not_Implemented,"No Patreon integration found"
Patreon,Patreon.FollowDeleted,unfollow,"user, platform: patreon",Low,Not_Implemented,"No Patreon integration found"
Global,Misc.GlobalVariableUpdated,variable_update,"variable_name, old_value, new_value",Low,Not_Implemented,"Missing from code"
Global,Misc.UserGlobalVariableUpdated,user_variable_update,"user, variable_name, value",Low,Not_Implemented,"Missing from code"
Global,Misc.GlobalVariableCreated,variable_created,"variable_name, value",Low,Not_Implemented,"Missing from code"
Global,Misc.GlobalVariableDeleted,variable_deleted,"variable_name",Low,Not_Implemented,"Missing from code"
Global,Misc.StreamerbotStarted,system_ready,"",Medium,Not_Implemented,"Missing from code"
Global,Misc.TimedAction,timer_trigger,"action_name",Low,Not_Implemented,"Missing from code"
Global,Custom.Event,custom_event,"event, data, timestamp",Medium,Implemented,"streamerbot-integration.js:250 - Wildcard Custom.* handler"
